Epoch    Training_accuracy    Training_time    Validation_accuracy    Validation_time
Total Time:1503.46804285049446        0.5772              665.5171         0.5650                 59.6126        
Total Time:2228.6036798954017        0.5777              2245.8972        0.5500                 77.5508        
Total Time:4552.06239151954658        0.5821              420.3505         0.4500                 6.4123         
Total Time:4978.8253281116499        0.5830              645.0258         0.5475                 7.5415         
Total Time:5631.39264106750510       0.5871              646.6513         0.5613                 26.9002        
Total Time:6304.955909729004Epoch    Training_accuracy    Training_loss    Training_time    Validation_accuracy    Validation_loss    Validation_time
Epoch    Training_accuracy    Training_loss    Training_time    Validation_accuracy    Validation_loss    Validation_time
1        0.4908              40.4703             821.8110         0.4938                 18.3491             10.6668        
2        0.5439              35.9455             765.4291         0.5075                 18.5262             3.2061         
3        0.5559              34.9311             465.2408         0.5188                 17.8314             4.3971         
4        0.5628              34.2750             650.2374         0.5613                 16.3624             7.3748         
5        0.5719              33.6792             713.3588         0.5175                 17.8092             13.7713        
